,Population,Area_Suburban,Area_Urban,Children,Age,Income,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Nonbinary,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService_Fiber Optic,Phone,Multiple,OnlineSecurity,OnlineBackup,StreamingTV,StreamingMovies,Tenure,Bandwidth_GB_Year,Email
0,38,0.0,1.0,0,68,28561.99,0.0,0.0,0.0,1.0,1.0,0.0,0,1,0,1,1,1,1.0,1,0,1,1,0,1,6.795512947,904.5361102,10
1,10446,0.0,1.0,1,27,21704.77,1.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,1.0,1,1,1,0,1,1,1.156680997,800.9827661,12
2,3735,0.0,1.0,4,50,9609.57,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,2,1,0,0.0,1,1,0,0,0,1,15.75414408,2054.706961,9
3,13863,1.0,0.0,1,48,18925.23,1.0,0.0,0.0,0.0,1.0,0.0,2,0,1,2,0,0,0.0,1,0,1,0,1,0,17.08722662,2164.579412,15
4,11352,1.0,0.0,0,83,40074.19,0.0,0.0,1.0,0.0,1.0,0.0,2,1,0,0,1,0,1.0,0,0,0,0,1,0,1.670971726,271.4934362,16
5,17701,0.0,1.0,3,83,22660.2,0.0,1.0,0.0,0.0,0.0,0.0,3,1,0,1,1,0,1.0,1,1,1,1,0,1,7.000993555,1039.357983,15
6,2535,1.0,0.0,0,79,11467.5,0.0,0.0,0.0,1.0,1.0,0.0,0,1,1,0,0,0,0.0,1,0,0,0,1,1,13.23677381,1907.242972,10
7,23144,1.0,0.0,2,30,26759.64,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,0,0,1,0,0,4.26425515,979.6127078,16
8,17351,1.0,0.0,2,49,58634.51,0.0,0.0,1.0,0.0,0.0,1.0,2,3,0,0,1,0,0.0,1,0,1,1,0,0,8.220686373,1312.874964,20
9,20193,0.0,0.0,1,86,50231.4,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2,1,0,1.0,1,0,1,0,0,1,3.422086139,508.7637913,18
