,Churn,Item1,Item2,Item4,Item5,Item6,Gender,Age,Income,Marital,Children
0,No,5,5,3,4,4,Male,68,28561.99,Widowed,0
1,Yes,3,4,3,4,3,Female,27,21704.77,Married,1
2,No,4,4,4,4,3,Female,50,9609.57,Widowed,4
3,No,4,4,2,5,4,Male,48,18925.23,Married,1
4,Yes,4,4,3,4,4,Male,83,40074.19,Separated,0
5,No,3,3,2,4,3,Female,83,22660.2,Never Married,3
6,Yes,6,5,4,1,5,Male,79,11467.5,Widowed,0
7,Yes,2,2,5,2,3,Female,30,26759.64,Married,2
8,No,5,4,3,4,3,Nonbinary,49,58634.51,Separated,2
9,No,2,2,2,5,2,Female,86,50231.4,Married,1
10,No,4,4,7,3,3,Female,23,22580.7,Separated,7
11,No,4,4,4,4,4,Female,56,18342.12,Married,2
12,No,1,2,4,3,2,Male,83,83671.08,Divorced,0
13,No,5,6,2,4,5,Female,29,115114.57,Separated,5
14,Yes,3,3,2,3,4,Male,30,64256.81,Separated,1
15,Yes,3,3,2,4,3,Male,39,89061.45,Divorced,3
16,Yes,3,4,3,5,4,Female,63,31659.3,Married,0
17,Yes,2,2,3,3,4,Male,60,44142.81,Separated,2
18,No,3,4,4,3,2,Female,61,39262.14,Widowed,3
19,Yes,5,5,4,4,4,Male,23,19494.75,Divorced,3
20,No,2,3,2,4,2,Male,38,39624.21,Never Married,4
21,No,5,5,4,3,4,Male,30,45714.47,Divorced,3
22,No,3,3,2,2,3,Male,52,27442.03,Widowed,3
23,No,4,4,5,3,4,Male,68,79699.62,Divorced,2
24,Yes,3,3,2,4,4,Female,75,28520.32,Widowed,3
25,Yes,4,4,4,2,4,Male,77,12558.83,Separated,1
26,Yes,5,3,3,3,5,Female,47,8762.23,Married,1
27,Yes,2,2,4,4,2,Female,70,43882.72,Widowed,0
28,Yes,3,4,3,2,4,Female,20,10482.52,Separated,3
29,Yes,4,4,3,2,5,Male,69,33442.79,Never Married,4
30,No,3,2,5,3,3,Male,45,43383.54,Married,9
31,No,2,3,3,3,2,Female,40,21793.88,Never Married,0
32,Yes,4,4,5,2,5,Female,82,51960.51,Divorced,6
33,Yes,5,5,3,5,3,Male,74,25942.1,Separated,5
34,Yes,6,5,5,2,6,Male,69,11211.59,Widowed,4
35,Yes,4,2,4,3,3,Male,52,8283.29,Never Married,1
36,Yes,4,3,5,2,4,Female,26,10114.81,Never Married,2
37,No,5,6,2,5,3,Female,25,36229.21,Never Married,1
38,No,4,4,4,2,4,Female,66,25397.44,Divorced,1
39,No,3,4,6,4,4,Male,72,50336.5,Divorced,1
40,No,5,2,3,3,5,Female,21,38211.37,Divorced,3
41,No,3,3,3,5,4,Male,55,52887.26,Married,3
42,Yes,3,3,5,1,4,Male,41,12003.33,Divorced,4
43,No,3,3,3,4,3,Male,32,24090.62,Never Married,4
44,Yes,4,4,4,3,4,Female,22,15137.93,Never Married,0
45,Yes,3,3,2,4,3,Female,44,54458.38,Divorced,2
46,Yes,4,4,2,2,4,Male,23,132116.33,Divorced,2
47,Yes,4,5,4,3,3,Female,43,37358.13,Never Married,3
48,No,3,4,2,3,3,Female,86,26534.16,Separated,1
49,No,3,3,3,5,3,Female,84,76430.83,Married,2
50,Yes,2,2,4,3,5,Female,62,4662.37,Separated,2
51,Yes,2,3,5,4,2,Female,68,43820.85,Divorced,5
52,No,4,4,3,4,2,Female,59,38391.55,Never Married,1
53,Yes,4,4,4,4,4,Female,31,44137.6,Separated,0
54,Yes,4,2,5,4,3,Male,51,14364.65,Widowed,0
55,No,3,4,6,3,4,Female,58,62359.91,Separated,1
56,Yes,5,4,5,3,3,Male,73,82634.86,Married,1
57,No,4,5,5,4,4,Female,33,15690.25,Widowed,1
58,Yes,3,5,2,4,5,Male,58,14568.7,Separated,1
59,No,5,5,4,4,5,Female,49,29207.46,Never Married,0
60,No,5,5,4,3,4,Female,26,55319.23,Never Married,1
61,No,3,4,2,3,4,Male,25,81831.49,Widowed,1
62,Yes,5,5,4,3,2,Female,42,100076.65,Separated,0
63,No,5,5,3,4,3,Male,81,69965.65,Widowed,1
64,No,4,4,3,4,4,Female,43,34883.69,Divorced,1
65,No,3,4,3,4,4,Male,63,45634.2,Never Married,2
66,Yes,3,3,4,4,3,Female,70,10964.73,Married,3
67,Yes,4,4,6,2,5,Male,78,22365.28,Widowed,1
68,No,3,1,2,5,2,Male,48,52636.6,Separated,0
69,Yes,4,4,5,4,4,Female,63,19048.13,Separated,1
70,Yes,5,5,5,3,7,Female,60,42784.82,Married,4
71,Yes,3,3,5,4,3,Male,87,77996.88,Divorced,0
72,No,2,3,3,5,2,Female,54,47507.3,Married,3
73,Yes,4,3,3,3,3,Male,35,7724.73,Divorced,3
